lat,lon,time,task_type,pred_temperature_2m,actual_temperature_2m,error_temperature_2m,pred_relative_humidity_2m,actual_relative_humidity_2m,error_relative_humidity_2m,pred_shortwave_radiation,actual_shortwave_radiation,error_shortwave_radiation,pred_cloud_cover,actual_cloud_cover,error_cloud_cover,pred_snow_depth,actual_snow_depth,error_snow_depth,pred_snowfall,actual_snowfall,error_snowfall,pred_wind_speed_10m,actual_wind_speed_10m,error_wind_speed_10m,pred_weather_code,actual_weather_code,error_weather_code,pred_freezing_level_height,actual_freezing_level_height,error_freezing_level_height,pred_surface_pressure,actual_surface_pressure,error_surface_pressure
46.657453,12.670912,2025-05-23T12:00:00,validate,-0.08560070639901213,-0.4333333333333333,0.34773262693432117,68.27656902689642,69.0,-0.7234309731035751,744.4454167777803,781.1666666666666,-36.72124988888629,98.41781437166644,98.33333333333333,0.08448103833310938,0.6447162674233564,0.6533333333333333,-0.008617065909976906,0,0.0,0.0,15.809825349833039,15.700000000000001,0.10982534983303793,3.0,3.0,0.0,2287.213656087083,2236.6666666666665,50.546989420416594,757.0650329412169,751.1666666666666,5.8983662745503125
46.657453,12.670912,2025-05-23T15:00:00,validate,1.0308364192677,0.7000000000000001,0.3308364192676999,61.39484248056277,62.0,-0.6051575194372276,551.8852729479534,582.2666666666667,-30.381393718713298,99.36712574866657,99.33333333333333,0.03379241533323807,0.6347162674233565,0.6433333333333334,-0.008617065909976906,0,0.0,0.0,13.110596806599881,13.066666666666665,0.043930139933216594,3.0,3.0,0.0,2413.373436523751,2363.3333333333335,50.04010319041754,756.8932974122505,751.0,5.89329741225049
46.698255,12.421719,2025-05-23T06:00:00,validate,-3.1928723971476085,-3.6999999999999997,0.5071276028523912,86.20764990234375,87.0,-0.7923500976562536,88.50833333333335,93.16666666666667,-4.658333333333317,100.0,100.0,0.0,0.33,0.33,0.0,0,0.0,0.0,14.0,14.0,0.0,3.0,3.0,0.0,2389.235009765625,2310.0,79.23500976562491,761.4620739562965,752.0666666666666,9.39540728962993
46.698255,12.421719,2025-05-23T09:00:00,validate,-2.0262057304809415,-2.533333333333333,0.5071276028523917,83.20764990234375,84.0,-0.7923500976562536,455.8416666666666,479.8333333333333,-23.99166666666673,96.0,96.0,0.0,0.36999999999999994,0.36999999999999994,0.0,0,0.0,0.0,12.6,12.6,0.0,3.0,3.0,0.0,2389.235009765625,2310.0,79.23500976562491,762.6296183963659,753.2333333333332,9.396285063032678
46.698255,12.421719,2025-05-23T12:00:00,validate,0.20712760285239162,-0.3,0.5071276028523917,70.54098323567707,71.33333333333333,-0.7923500976562536,687.8,724.0,-36.200000000000045,74.66666666666667,74.66666666666667,0.0,0.36000000000000004,0.36000000000000004,0.0,0,0.0,0.0,12.366666666666665,12.366666666666665,0.0,3.0,3.0,0.0,2399.235009765625,2320.0,79.23500976562491,763.6633906164006,754.2666666666668,9.396723949733882
46.698255,12.421719,2025-05-23T15:00:00,validate,1.6071276028523913,1.0999999999999999,0.5071276028523914,57.54098323567709,58.333333333333336,-0.7923500976562465,492.38500000000005,518.3000000000001,-25.91500000000002,100.0,100.0,0.0,0.3533333333333334,0.35333333333333333,5.551115123125783e-17,0,0.0,0.0,13.433333333333332,13.433333333333332,0.0,3.0,3.0,0.0,2515.9016764322914,2436.6666666666665,79.23500976562491,763.6304961697685,754.2333333333332,9.397162836435314
46.771029,11.015856,2025-05-23T06:00:00,validate,-9.548395350160552,-9.799999999999999,0.25160464983944664,99.578576171875,100.0,-0.42142382812500045,76.95,81.0,-4.049999999999997,100.0,100.0,0.0,1.2366666666666666,1.2366666666666666,0.0,0,0.0,0.0,24.799999999999997,24.8,-3.552713678800501e-15,71.0,71.0,0.0,3062.1423828125,3020.0,42.14238281249982,685.0693951309167,680.3,4.7693951309167915
46.771029,11.015856,2025-05-23T09:00:00,validate,-9.21506201682722,-9.466666666666667,0.25160464983944664,94.91190950520831,95.33333333333333,-0.42142382812501467,532.8866666666665,560.9333333333333,-28.046666666666738,100.0,100.0,0.0,1.2499999999999998,1.25,-2.220446049250313e-16,0,0.0,0.0,21.83333333333333,21.833333333333332,-3.552713678800501e-15,3.0,3.0,0.0,3062.1423828125,3020.0,42.14238281249982,686.0360617975834,681.2666666666667,4.7693951309167915
46.771029,11.015856,2025-05-23T12:00:00,validate,-6.9817286834938885,-7.233333333333334,0.25160464983944575,79.91190950520833,80.33333333333333,-0.42142382812500045,912.3799999999999,960.4,-48.020000000000095,88.66666666666669,88.66666666666667,1.4210854715202004e-14,1.2399999999999998,1.24,-2.220446049250313e-16,0,0.0,0.0,18.63333333333333,18.63333333333333,0.0,3.0,3.0,0.0,3062.1423828125,3020.0,42.14238281249982,687.6052085574104,682.8333333333334,4.771875224077007
46.771029,11.015856,2025-05-23T15:00:00,validate,-5.681728683493888,-5.933333333333334,0.25160464983944575,71.578576171875,72.0,-0.42142382812500045,779.8866666666667,820.9333333333334,-41.04666666666674,72.33333333333333,72.33333333333333,0.0,1.22,1.22,0.0,0,0.0,0.0,18.833333333333332,18.833333333333332,0.0,1.0,1.0,0.0,3062.1423828125,3020.0,42.14238281249982,687.9735286195172,683.2000000000002,4.773528619517037
